Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
525,4203696619,Elobber (1/2),0,327,C Victor Wembanyama F Patrick Baldwin Jr. G Dejounte Murray PF Oshae Brissett PG Jordan Poole SF Sam Hauser SG Justin Champagnie UTIL Paolo Banchero,,,
525,4203720475,ctk1227 (18/20),0,327,C Victor Wembanyama F Oshae Brissett G Sam Hauser PF Patrick Baldwin Jr. PG Jordan Poole SF Jayson Tatum SG Justin Champagnie UTIL Kawhi Leonard,,,
525,4203726888,Bojackson_16 (3/20),0,327,C Victor Wembanyama F Patrick Baldwin Jr. G Sam Hauser PF Oshae Brissett PG Jordan Poole SF Jayson Tatum SG Justin Champagnie UTIL Kawhi Leonard,,,
525,4203726890,Bojackson_16 (5/20),0,327,C Victor Wembanyama F Patrick Baldwin Jr. G Dejounte Murray PF Paolo Banchero PG Jordan Poole SF Sam Hauser SG Justin Champagnie UTIL Oshae Brissett,,,
525,4203798576,rooneytoons (7/13),0,327,C Victor Wembanyama F Oshae Brissett G Sam Hauser PF Patrick Baldwin Jr. PG Jordan Poole SF Kawhi Leonard SG Justin Champagnie UTIL Jayson Tatum,,,
525,4203800839,parabay (9/9),0,327,C Victor Wembanyama F Patrick Baldwin Jr. G Justin Champagnie PF Oshae Brissett PG Dejounte Murray SF Sam Hauser SG Jordan Poole UTIL Paolo Banchero,,,
525,4203803259,Hincetopher (2/20),0,327,C Victor Wembanyama F Patrick Baldwin Jr. G Sam Hauser PF Oshae Brissett PG Jordan Poole SF Jayson Tatum SG Justin Champagnie UTIL Kawhi Leonard,,,
525,4203820397,mhaag11223212 (18/20),0,327,C Victor Wembanyama F Patrick Baldwin Jr. G Sam Hauser PF Oshae Brissett PG Jordan Poole SF Jayson Tatum SG Justin Champagnie UTIL Kawhi Leonard,,,
525,4203838832,gutp (4/20),0,327,C Victor Wembanyama F Oshae Brissett G Justin Champagnie PF Patrick Baldwin Jr. PG Jordan Poole SF Jayson Tatum SG Sam Hauser UTIL Kawhi Leonard,,,
525,4203862102,cmangone (20/20),0,327,C Victor Wembanyama F Patrick Baldwin Jr. G Sam Hauser PF Oshae Brissett PG Jordan Poole SF Jayson Tatum SG Justin Champagnie UTIL Kawhi Leonard,,,
525,4203870560,squirrelpatroldk (4/20),0,327,C Victor Wembanyama F Patrick Baldwin Jr. G Sam Hauser PF Oshae Brissett PG Jordan Poole SF Jayson Tatum SG Justin Champagnie UTIL Kawhi Leonard,,,
525,4203874135,cz2121 (2/2),0,327,C Victor Wembanyama F Patrick Baldwin Jr. G Sam Hauser PF Jayson Tatum PG Jordan Poole SF Kawhi Leonard SG Justin Champagnie UTIL Oshae Brissett,,,
525,4203906272,danman2191,0,327,C Victor Wembanyama F Patrick Baldwin Jr. G Sam Hauser PF Oshae Brissett PG Jordan Poole SF Jayson Tatum SG Justin Champagnie UTIL Kawhi Leonard,,,
525,4203910227,nbrplaytime (3/20),0,327,C Victor Wembanyama F Patrick Baldwin Jr. G Sam Hauser PF Oshae Brissett PG Jordan Poole SF Kawhi Leonard SG Justin Champagnie UTIL Jayson Tatum,,,
525,4203913039,antrho1223 (13/15),0,327,C Victor Wembanyama F Patrick Baldwin Jr. G Dejounte Murray PF Oshae Brissett PG Jordan Poole SF Sam Hauser SG Justin Champagnie UTIL Paolo Banchero,,,
525,4203917154,tam_yelnats (1/10),0,327,C Victor Wembanyama F Oshae Brissett G Sam Hauser PF Kawhi Leonard PG Jordan Poole SF Jayson Tatum SG Justin Champagnie UTIL Patrick Baldwin Jr.,,,
525,4203923176,tam_yelnats (3/10),0,327,C Victor Wembanyama F Patrick Baldwin Jr. G Sam Hauser PF Oshae Brissett PG Jordan Poole SF Jayson Tatum SG Justin Champagnie UTIL Kawhi Leonard,,,
525,4203936230,Ultiform (18/20),0,327,C Victor Wembanyama F Patrick Baldwin Jr. G Sam Hauser PF Oshae Brissett PG Jordan Poole SF Jayson Tatum SG Justin Champagnie UTIL Kawhi Leonard,,,
525,4203955402,truson (2/6),0,327,C Victor Wembanyama F Jayson Tatum G Bones Hyland PF Patrick Baldwin Jr. PG Payton Pritchard SF Sam Hauser SG Justin Champagnie UTIL Paul George,,,
525,4203958987,TJZwarych (4/20),0,327,C Victor Wembanyama F Patrick Baldwin Jr. G Sam Hauser PF Oshae Brissett PG Jordan Poole SF Kawhi Leonard SG Justin Champagnie UTIL Jayson Tatum,,,
525,4203965211,Budzapper253 (14/20),0,327,C Victor Wembanyama F Oshae Brissett G Justin Champagnie PF Patrick Baldwin Jr. PG Jordan Poole SF Jayson Tatum SG Sam Hauser UTIL Kawhi Leonard,,,
525,4203980830,jbirlew (8/8),0,327,C Victor Wembanyama F Oshae Brissett G Justin Champagnie PF Patrick Baldwin Jr. PG Jordan Poole SF Jayson Tatum SG Sam Hauser UTIL Kawhi Leonard,,,
525,4203984229,jsanders61 (10/20),0,327,C Victor Wembanyama F Patrick Baldwin Jr. G Sam Hauser PF Oshae Brissett PG Jordan Poole SF Kawhi Leonard SG Justin Champagnie UTIL Jayson Tatum,,,
525,4203989962,RiseAboveTheRest (17/20),0,327,C Victor Wembanyama F Patrick Baldwin Jr. G Sam Hauser PF Oshae Brissett PG Jordan Poole SF Jayson Tatum SG Justin Champagnie UTIL Kawhi Leonard,,,
525,4203997848,enycekidd (3/5),0,327,C Victor Wembanyama F Oshae Brissett G Justin Champagnie PF Patrick Baldwin Jr. PG Jordan Poole SF Jayson Tatum SG Sam Hauser UTIL Kawhi Leonard,,,
525,4204000081,byrnemichael21 (14/20),0,327,C Victor Wembanyama F Oshae Brissett G Sam Hauser PF Jayson Tatum PG Jordan Poole SF Kawhi Leonard SG Justin Champagnie UTIL Patrick Baldwin Jr.,,,
525,4204006813,rahulk5 (6/12),0,327,C Victor Wembanyama F Patrick Baldwin Jr. G Sam Hauser PF Oshae Brissett PG Jordan Poole SF Jayson Tatum SG Justin Champagnie UTIL Kawhi Leonard,,,
525,4204010810,fballjunkiee (5/20),0,327,C Victor Wembanyama F Oshae Brissett G Sam Hauser PF Patrick Baldwin Jr. PG Jordan Poole SF Jayson Tatum SG Justin Champagnie UTIL Kawhi Leonard,,,
565,4203207684,kkatamneni0628 (3/20),0,326.75,C Victor Wembanyama F Sam Hauser G Jared Butler PF Patrick Baldwin Jr. PG Payton Pritchard SF Jayson Tatum SG Jordan Poole UTIL Jrue Holiday,,,
565,4203295337,phillybooyea (2/20),0,326.75,C Victor Wembanyama F Patrick Baldwin Jr. G Jrue Holiday PF Jayson Tatum PG Payton Pritchard SF Sam Hauser SG Jordan Poole UTIL Jared Butler,,,
565,4203406699,Jantzens (6/11),0,326.75,C Victor Wembanyama F Sam Hauser G Payton Pritchard PF Patrick Baldwin Jr. PG Jrue Holiday SF Jayson Tatum SG Jordan Poole UTIL Jared Butler,,,
565,4203454187,TTH137 (20/20),0,326.75,C Victor Wembanyama F Sam Hauser G Payton Pritchard PF Patrick Baldwin Jr. PG Jrue Holiday SF Jayson Tatum SG Jordan Poole UTIL Jared Butler,,,
565,4203483699,EpicProblem (4/20),0,326.75,C Victor Wembanyama F Patrick Baldwin Jr. G Jared Butler PF Jayson Tatum PG Jrue Holiday SF Sam Hauser SG Jordan Poole UTIL Payton Pritchard,,,
565,4203487247,ceelo81 (3/20),0,326.75,C Victor Wembanyama F Patrick Baldwin Jr. G Jrue Holiday PF Jayson Tatum PG Jared Butler SF Sam Hauser SG Jordan Poole UTIL Payton Pritchard,,,
565,4203561885,BRUMMIE22 (20/20),0,326.75,C Victor Wembanyama F Jayson Tatum G Payton Pritchard PF Patrick Baldwin Jr. PG Jared Butler SF Sam Hauser SG Jordan Poole UTIL Jrue Holiday,,,
565,4203566051,valintino85 (9/16),0,326.75,C Victor Wembanyama F Patrick Baldwin Jr. G Jared Butler PF Jayson Tatum PG Payton Pritchard SF Sam Hauser SG Jordan Poole UTIL Jrue Holiday,,,
565,4203578480,TNTDiver (9/20),0,326.75,C Victor Wembanyama F Jayson Tatum G Payton Pritchard PF Patrick Baldwin Jr. PG Jared Butler SF Sam Hauser SG Jordan Poole UTIL Jrue Holiday,,,
565,4203599896,slipperywhendry (15/20),0,326.75,C Moritz Wagner F Paul George G Justin Champagnie PF Jayson Tatum PG Devin Vassell SF Sam Hauser SG Jordan Poole UTIL Cam Thomas,,,
565,4203615339,DomingoSalvajeS (18/20),0,326.75,C Victor Wembanyama F Patrick Baldwin Jr. G Payton Pritchard PF Jayson Tatum PG Jared Butler SF Sam Hauser SG Jordan Poole UTIL Jrue Holiday,,,
565,4203619211,KingandQueen15 (1/20),0,326.75,C Victor Wembanyama F Sam Hauser G Jared Butler PF Patrick Baldwin Jr. PG Payton Pritchard SF Jayson Tatum SG Jordan Poole UTIL Jrue Holiday,,,
565,4203628413,opatlion (6/20),0,326.75,C Victor Wembanyama F Jayson Tatum G Payton Pritchard PF Patrick Baldwin Jr. PG Jared Butler SF Sam Hauser SG Jordan Poole UTIL Jrue Holiday,,,
565,4203630247,mrdre47 (2/7),0,326.75,C Victor Wembanyama F Jayson Tatum G Jrue Holiday PF Patrick Baldwin Jr. PG Jared Butler SF Sam Hauser SG Jordan Poole UTIL Payton Pritchard,,,
565,4203630250,mrdre47 (5/7),0,326.75,C Victor Wembanyama F Jayson Tatum G Jrue Holiday PF Patrick Baldwin Jr. PG Jared Butler SF Sam Hauser SG Jordan Poole UTIL Payton Pritchard,,,
565,4203681162,fonsi1977 (9/10),0,326.75,C Victor Wembanyama F Sam Hauser G Payton Pritchard PF Patrick Baldwin Jr. PG Jared Butler SF Jayson Tatum SG Jordan Poole UTIL Jrue Holiday,,,
565,4203689954,gingerhammers (6/20),0,326.75,C Victor Wembanyama F Sam Hauser G Payton Pritchard PF Patrick Baldwin Jr. PG Jared Butler SF Jayson Tatum SG Jordan Poole UTIL Jrue Holiday,,,
565,4203718004,itheblev (10/20),0,326.75,C Victor Wembanyama F Patrick Baldwin Jr. G Jrue Holiday PF Jayson Tatum PG Jared Butler SF Sam Hauser SG Jordan Poole UTIL Payton Pritchard,,,
565,4203732592,beefym (2/3),0,326.75,C Victor Wembanyama F Patrick Baldwin Jr. G Jared Butler PF Jayson Tatum PG Jrue Holiday SF Sam Hauser SG Jordan Poole UTIL Payton Pritchard,,,
565,4203745192,pmm317 (5/12),0,326.75,C Victor Wembanyama F Jayson Tatum G Payton Pritchard PF Patrick Baldwin Jr. PG Jared Butler SF Sam Hauser SG Jordan Poole UTIL Jrue Holiday,,,
565,4203910580,bgup78 (1/20),0,326.75,C Victor Wembanyama F Jayson Tatum G Payton Pritchard PF Patrick Baldwin Jr. PG Jared Butler SF Sam Hauser SG Jordan Poole UTIL Jrue Holiday,,,
565,4203931958,cowboynation64,0,326.75,C Victor Wembanyama F Sam Hauser G Payton Pritchard PF Patrick Baldwin Jr. PG Jrue Holiday SF Jayson Tatum SG Jordan Poole UTIL Jared Butler,,,
565,4203965778,BronxBomber2 (2/3),0,326.75,C Victor Wembanyama F Patrick Baldwin Jr. G Payton Pritchard PF Jayson Tatum PG Jared Butler SF Sam Hauser SG Jordan Poole UTIL Jrue Holiday,,,
565,4203973548,Zjustice819 (4/4),0,326.75,C Victor Wembanyama F Sam Hauser G Jared Butler PF Patrick Baldwin Jr. PG Payton Pritchard SF Jayson Tatum SG Jordan Poole UTIL Jrue Holiday,,,
565,4203984238,jsanders61 (19/20),0,326.75,C Richaun Holmes F Jayson Tatum G Payton Pritchard PF Moritz Wagner PG Jared Butler SF Sam Hauser SG Paul George UTIL Victor Wembanyama,,,
590,4203284830,TheFreshNasty (2/20),0,326.5,C Victor Wembanyama F Oshae Brissett G Justin Champagnie PF Jayson Tatum PG Cole Anthony SF Sam Hauser SG Jordan Poole UTIL Paul George,,,
590,4203583198,soifasoif (1/20),0,326.5,C Victor Wembanyama F Sam Hauser G Cole Anthony PF Oshae Brissett PG Jordan Poole SF Jayson Tatum SG Justin Champagnie UTIL Paul George,,,
590,4203942646,Dr_Henry_Pride,0,326.5,C Victor Wembanyama F Oshae Brissett G Paul George PF Jayson Tatum PG Jordan Poole SF Sam Hauser SG Justin Champagnie UTIL Cole Anthony,,,
590,4203987794,clownbaby54 (2/2),0,326.5,C Victor Wembanyama F Jayson Tatum G Justin Champagnie PF Oshae Brissett PG Jordan Poole SF Sam Hauser SG Paul George UTIL Cole Anthony,,,
590,4204007507,eparachute (10/10),0,326.5,C Victor Wembanyama F Oshae Brissett G Paul George PF Jayson Tatum PG Cole Anthony SF Sam Hauser SG Justin Champagnie UTIL Jordan Poole,,,
590,4204022642,klink (5/5),0,326.5,C Victor Wembanyama F Sam Hauser G Jrue Holiday PF Jalen Johnson PG Payton Pritchard SF Jayson Tatum SG Justin Champagnie UTIL Blake Wesley,,,
596,4203258159,cb_hanson (8/20),0,326.25,C Richaun Holmes F Franz Wagner G Jordan Poole PF Patrick Baldwin Jr. PG Payton Pritchard SF Jayson Tatum SG Justin Champagnie UTIL Victor Wembanyama,,,
596,4203259287,Romello_Martinez (9/20),0,326.25,C Victor Wembanyama F Paul George G Jared Butler PF Oshae Brissett PG Jordan Poole SF Jayson Tatum SG Justin Champagnie UTIL Payton Pritchard,,,
596,4203319479,oxenduck (18/20),0,326.25,C Victor Wembanyama F Patrick Baldwin Jr. G Jordan Poole PF Oshae Brissett PG Jared Butler SF Jayson Tatum SG Sam Hauser UTIL Paul George,,,
596,4203323722,biggiesmalls11 (17/20),0,326.25,C Richaun Holmes F Franz Wagner G Jordan Poole PF Patrick Baldwin Jr. PG Payton Pritchard SF Jayson Tatum SG Justin Champagnie UTIL Victor Wembanyama,,,
596,4203352849,Patrick_Star (16/20),0,326.25,C Victor Wembanyama F Patrick Baldwin Jr. G Jared Butler PF Oshae Brissett PG Jordan Poole SF Jayson Tatum SG Sam Hauser UTIL Paul George,,,
596,4203372363,PMCakaPrimeMC (17/20),0,326.25,C Luke Kornet F Sam Hauser G Paul George PF Jayson Tatum PG Payton Pritchard SF Kawhi Leonard SG Justin Champagnie UTIL Jordan Poole,,,
596,4203379155,smithbrandon7 (12/20),0,326.25,C Victor Wembanyama F Oshae Brissett G Jared Butler PF Patrick Baldwin Jr. PG Jordan Poole SF Jayson Tatum SG Sam Hauser UTIL Paul George,,,
596,4203401389,jdeegs99 (11/20),0,326.25,C Victor Wembanyama F Keldon Johnson G Payton Pritchard PF Oshae Brissett PG Jordan Poole SF Sam Hauser SG Cam Thomas UTIL Immanuel Quickley,,,
596,4203406701,Jantzens (8/11),0,326.25,C Richaun Holmes F Patrick Baldwin Jr. G Justin Champagnie PF Jayson Tatum PG Payton Pritchard SF Franz Wagner SG Jordan Poole UTIL Victor Wembanyama,,,
596,4203518336,dcoops61 (9/13),0,326.25,C Victor Wembanyama F Patrick Baldwin Jr. G Jordan Poole PF Oshae Brissett PG Jared Butler SF Jayson Tatum SG Sam Hauser UTIL Paul George,,,
596,4203565132,SamBamCH (4/20),0,326.25,C Victor Wembanyama F Paul George G Jordan Poole PF Patrick Baldwin Jr. PG Jared Butler SF Jayson Tatum SG Sam Hauser UTIL Oshae Brissett,,,
596,4203571616,Dan06712 (13/20),0,326.25,C Victor Wembanyama F Oshae Brissett G Sam Hauser PF Patrick Baldwin Jr. PG Jared Butler SF Jayson Tatum SG Jordan Poole UTIL Paul George,,,
596,4203584535,bkreider (6/20),0,326.25,C Victor Wembanyama F Patrick Baldwin Jr. G Jordan Poole PF Oshae Brissett PG Jared Butler SF Jayson Tatum SG Sam Hauser UTIL Paul George,,,
596,4203600810,rademaker20 (5/7),0,326.25,C Victor Wembanyama F Sam Hauser G Paul George PF Patrick Baldwin Jr. PG Jared Butler SF Jayson Tatum SG Jordan Poole UTIL Oshae Brissett,,,
596,4203661171,beatTheVig (6/20),0,326.25,C Victor Wembanyama F Patrick Baldwin Jr. G Jared Butler PF Oshae Brissett PG Jordan Poole SF Jayson Tatum SG Sam Hauser UTIL Paul George,,,
596,4203705810,spundin (2/20),0,326.25,C Richaun Holmes F Franz Wagner G Justin Champagnie PF Patrick Baldwin Jr. PG Payton Pritchard SF Jayson Tatum SG Jordan Poole UTIL Victor Wembanyama,,,
596,4203706729,dmcol1988 (4/20),0,326.25,C Victor Wembanyama F Oshae Brissett G Jordan Poole PF Patrick Baldwin Jr. PG Jared Butler SF Jayson Tatum SG Sam Hauser UTIL Paul George,,,
596,4203711744,chicksdigthewongball (5/20),0,326.25,C Richaun Holmes F Franz Wagner G Justin Champagnie PF Patrick Baldwin Jr. PG Payton Pritchard SF Jayson Tatum SG Jordan Poole UTIL Victor Wembanyama,,,
596,4203713393,gregr1224 (8/20),0,326.25,C Victor Wembanyama F Oshae Brissett G Sam Hauser PF Patrick Baldwin Jr. PG Jared Butler SF Jayson Tatum SG Jordan Poole UTIL Paul George,,,
596,4203716338,elindy4 (10/20),0,326.25,C Victor Wembanyama F Oshae Brissett G Jared Butler PF Patrick Baldwin Jr. PG Jordan Poole SF Jayson Tatum SG Sam Hauser UTIL Paul George,,,
596,4203743199,dparent3 (13/20),0,326.25,C Richaun Holmes F Patrick Baldwin Jr. G Payton Pritchard PF Jayson Tatum PG Jordan Poole SF Franz Wagner SG Justin Champagnie UTIL Victor Wembanyama,,,
596,4203781038,HahamHanukah (5/10),0,326.25,C Victor Wembanyama F Patrick Baldwin Jr. G Jordan Poole PF Oshae Brissett PG Jared Butler SF Jayson Tatum SG Sam Hauser UTIL Paul George,,,
596,4203790923,Grichsportz (1/2),0,326.25,C Victor Wembanyama F Amir Coffey G Cam Thomas PF Jordan Nwora PG Payton Pritchard SF Jayson Tatum SG Sam Hauser UTIL Ivica Zubac,,,
596,4203934105,danmcw41 (19/20),0,326.25,C Victor Wembanyama F Oshae Brissett G Jared Butler PF Patrick Baldwin Jr. PG Jordan Poole SF Jayson Tatum SG Sam Hauser UTIL Paul George,,,
596,4204000082,byrnemichael21 (15/20),0,326.25,C Victor Wembanyama F Oshae Brissett G Sam Hauser PF Jayson Tatum PG Jared Butler SF Paul George SG Jordan Poole UTIL Patrick Baldwin Jr.,,,
596,4204010822,fballjunkiee (17/20),0,326.25,C Victor Wembanyama F Jayson Tatum G Paul George PF Patrick Baldwin Jr. PG Jared Butler SF Sam Hauser SG Jordan Poole UTIL Oshae Brissett,,,
596,4204019198,LuckyGuess31 (8/8),0,326.25,C Victor Wembanyama F Jalen Johnson G Jrue Holiday PF Oshae Brissett PG Payton Pritchard SF Sam Hauser SG Justin Champagnie UTIL Dejounte Murray,,,
623,4203113348,rubbsy (2/20),0,326,C Victor Wembanyama F Jayson Tatum G Cam Thomas PF Oshae Brissett PG Jordan Poole SF Sam Hauser SG Justin Champagnie UTIL Ivica Zubac,,,
623,4203319481,oxenduck (20/20),0,326,C Victor Wembanyama F Jayson Tatum G Cam Thomas PF Oshae Brissett PG Jordan Poole SF Sam Hauser SG Justin Champagnie UTIL Ivica Zubac,,,
623,4203371206,mboettch (13/20),0,326,C Victor Wembanyama F Oshae Brissett G Cam Thomas PF Jayson Tatum PG Jordan Poole SF Sam Hauser SG Justin Champagnie UTIL Ivica Zubac,,,
623,4203401601,l800Eddie (19/20),0,326,C Victor Wembanyama F Sam Hauser G Cam Thomas PF Oshae Brissett PG Jordan Poole SF Jayson Tatum SG Justin Champagnie UTIL Ivica Zubac,,,
623,4203436892,MsKarla (2/4),0,326,C Wendell Carter Jr. F Paul George G Sam Hauser PF Jordan Nwora PG Payton Pritchard SF Jayson Tatum SG Jordan Poole UTIL Clint Capela,,,
623,4203559234,ChipotleAddict (2/20),0,326,C Victor Wembanyama F Sam Hauser G Cam Thomas PF Oshae Brissett PG Jordan Poole SF Jayson Tatum SG Justin Champagnie UTIL Ivica Zubac,,,
623,4203584547,bkreider (18/20),0,326,C Victor Wembanyama F Jayson Tatum G Cam Thomas PF Oshae Brissett PG Jordan Poole SF Sam Hauser SG Justin Champagnie UTIL Ivica Zubac,,,
623,4203600570,mcafeend (17/20),0,326,C Victor Wembanyama F Sam Hauser G Cam Thomas PF Oshae Brissett PG Jordan Poole SF Jayson Tatum SG Justin Champagnie UTIL Ivica Zubac,,,
623,4203716345,elindy4 (17/20),0,326,C Victor Wembanyama F Sam Hauser G Cam Thomas PF Oshae Brissett PG Jordan Poole SF Jayson Tatum SG Justin Champagnie UTIL Ivica Zubac,,,
623,4203789285,murderink (2/3),0,326,C Al Horford F Cameron Johnson G Gary Trent Jr. PF Jalen Johnson PG Jordan Poole SF Sam Hauser SG Justin Champagnie UTIL Victor Wembanyama,,,
623,4203925632,burklandmayor (10/20),0,326,C Victor Wembanyama F Jayson Tatum G Cam Thomas PF Oshae Brissett PG Jordan Poole SF Sam Hauser SG Justin Champagnie UTIL Ivica Zubac,,,
623,4203952256,0noratin (7/20),0,326,C Moritz Wagner F Paolo Banchero G Cam Thomas PF Oshae Brissett PG Payton Pritchard SF Paul George SG Sam Hauser UTIL Jayson Tatum,,,
623,4203975606,tannekill69 (1/2),0,326,C Victor Wembanyama F Jayson Tatum G Cam Thomas PF Oshae Brissett PG Jordan Poole SF Sam Hauser SG Justin Champagnie UTIL Ivica Zubac,,,
623,4203983983,tannekill69 (2/2),0,326,C Victor Wembanyama F Jayson Tatum G Cam Thomas PF Oshae Brissett PG Jordan Poole SF Sam Hauser SG Justin Champagnie UTIL Ivica Zubac,,,
637,4203506663,Deathflower74 (16/20),0,325.75,C Richaun Holmes F Sam Hauser G Devin Vassell PF Moritz Wagner PG Jordan Poole SF Jayson Tatum SG Justin Champagnie UTIL Victor Wembanyama,,,
637,4203509033,HOPPALEE (6/17),0,325.75,C Richaun Holmes F Al Horford G Dennis Schroder PF Jayson Tatum PG Payton Pritchard SF Sam Hauser SG Justin Champagnie UTIL Victor Wembanyama,,,
637,4203571016,zapf75 (15/20),0,325.75,C Victor Wembanyama F Paolo Banchero G Jordan Poole PF Al Horford PG Jared Butler SF Sam Hauser SG Justin Champagnie UTIL Clint Capela,,,
637,4203738145,EagleEye3434 (2/5),0,325.75,C Victor Wembanyama F Kawhi Leonard G Justin Champagnie PF Oshae Brissett PG Payton Pritchard SF Mikal Bridges SG Sam Hauser UTIL Paul George,,,
637,4203826380,the_Dean221 (8/10),0,325.75,C Victor Wembanyama F Patrick Baldwin Jr. G Payton Pritchard PF Al Horford PG Jared Butler SF Sam Hauser SG Cam Thomas UTIL Dejounte Murray,,,
637,4204025002,cdhouser,0,325.75,C Victor Wembanyama F Jayson Tatum G Jrue Holiday PF Amir Coffey PG Payton Pritchard SF Sam Hauser SG Cam Thomas UTIL Justin Champagnie,,,
643,4203433977,Seducer (20/20),0,325.5,C Nic Claxton F Keldon Johnson G Cam Thomas PF Jayson Tatum PG Dennis Schroder SF Sam Hauser SG Justin Champagnie UTIL Clint Capela,,,
643,4203699220,cpforfree (8/20),0,325.5,C Victor Wembanyama F Corey Kispert G Jordan Poole PF Patrick Baldwin Jr. PG Payton Pritchard SF Jayson Tatum SG Sam Hauser UTIL Dorian Finney-Smith,,,
643,4203837793,bwinslow99 (14/20),0,325.5,C Victor Wembanyama F Sam Hauser G Jared Butler PF Al Horford PG Payton Pritchard SF Jayson Tatum SG Justin Champagnie UTIL Mikal Bridges,,,
643,4203964611,GaryT818 (3/5),0,325.5,C Victor Wembanyama F Jayson Tatum G Payton Pritchard PF Al Horford PG Jared Butler SF Sam Hauser SG Justin Champagnie UTIL Mikal Bridges,,,
647,4203353969,juliog23 (3/20),0,325.25,C Jontay Porter F Jalen Johnson G Jrue Holiday PF Patrick Baldwin Jr. PG Payton Pritchard SF Jayson Tatum SG Justin Champagnie UTIL Victor Wembanyama,,,
647,4203363929,TitanUp05 (10/20),0,325.25,C Al Horford F Jayson Tatum G Jordan Poole PF Moritz Wagner PG Payton Pritchard SF Sam Hauser SG Cole Anthony UTIL Victor Wembanyama,,,
647,4203383220,anthnmike,0,325.25,C Jontay Porter F Kawhi Leonard G Tre Jones PF Moritz Wagner PG Payton Pritchard SF Sam Hauser SG Paul George UTIL Victor Wembanyama,,,
647,4203439864,codymcelveen (3/5),0,325.25,C Victor Wembanyama F Jalen Johnson G Payton Pritchard PF Patrick Baldwin Jr. PG Jrue Holiday SF Jayson Tatum SG Justin Champagnie UTIL Jontay Porter,,,
647,4203472809,RudebwoyKev (9/20),0,325.25,C Nic Claxton F Paolo Banchero G Justin Champagnie PF Patrick Baldwin Jr. PG Payton Pritchard SF Jayson Tatum SG Jordan Poole UTIL Clint Capela,,,
647,4203655744,chuz73 (1/2),0,325.25,C Victor Wembanyama F Franz Wagner G Dejounte Murray PF Keldon Johnson PG Payton Pritchard SF Sam Hauser SG Justin Champagnie UTIL Richaun Holmes,,,
647,4203757788,dpurvis1111,0,325.25,C Richaun Holmes F Franz Wagner G Dejounte Murray PF Keldon Johnson PG Payton Pritchard SF Sam Hauser SG Justin Champagnie UTIL Victor Wembanyama,,,
647,4203768606,jacuan1019 (2/3),0,325.25,C Victor Wembanyama F Jalen Johnson G Justin Champagnie PF Oshae Brissett PG Tre Jones SF Jayson Tatum SG Sam Hauser UTIL Ivica Zubac,,,
647,4203909737,yungamctheking (17/20),0,325.25,C Jontay Porter F Jalen Johnson G Jrue Holiday PF Patrick Baldwin Jr. PG Payton Pritchard SF Jayson Tatum SG Justin Champagnie UTIL Victor Wembanyama,,,
647,4203940106,bknapple1 (7/10),0,325.25,C Victor Wembanyama F Paul George G Jrue Holiday PF Moritz Wagner PG Jordan Poole SF Sam Hauser SG Justin Champagnie UTIL Cam Thomas,,,
647,4204024465,lorftz (2/3),0,325.25,C Victor Wembanyama F Jalen Johnson G Justin Champagnie PF Oshae Brissett PG Tre Jones SF Jayson Tatum SG Sam Hauser UTIL Ivica Zubac,,,
658,4203191408,B_Mcafee90 (18/20),0,325,C Victor Wembanyama F Kawhi Leonard G Jalen Suggs PF Jalen Johnson PG Payton Pritchard SF Sam Hauser SG Justin Champagnie UTIL Ivica Zubac,,,
658,4203284838,TheFreshNasty (10/20),0,325,C Xavier Tillman F Paul George G Jared Butler PF Jayson Tatum PG Jordan Poole SF Sam Hauser SG Justin Champagnie UTIL Victor Wembanyama,,,
658,4203371209,mboettch (16/20),0,325,C Xavier Tillman F Paul George G Jared Butler PF Jayson Tatum PG Jordan Poole SF Sam Hauser SG Justin Champagnie UTIL Victor Wembanyama,,,
658,4203372361,PMCakaPrimeMC (15/20),0,325,C Victor Wembanyama F Patrick Baldwin Jr. G Justin Champagnie PF Al Horford PG Jordan Poole SF Paul George SG Sam Hauser UTIL Franz Wagner,,,
658,4203373613,RedScorpion1972 (17/20),0,325,C Victor Wembanyama F Patrick Baldwin Jr. G Gary Trent Jr. PF Cameron Johnson PG Payton Pritchard SF Kawhi Leonard SG Justin Champagnie UTIL Jalen Johnson,,,
658,4203482175,kawhisenberg (19/20),0,325,C Richaun Holmes F Jalen Johnson G Cam Thomas PF Patrick Baldwin Jr. PG Jared Butler SF Jayson Tatum SG Justin Champagnie UTIL Victor Wembanyama,,,
658,4203584541,bkreider (12/20),0,325,C Xavier Tillman F Paul George G Jordan Poole PF Jayson Tatum PG Jared Butler SF Sam Hauser SG Justin Champagnie UTIL Victor Wembanyama,,,
658,4203645344,Ayo245 (1/6),0,325,C Richaun Holmes F Sam Hauser G Payton Pritchard PF Jalen Johnson PG Tre Jones SF Jayson Tatum SG Dennis Schroder UTIL Jordan Poole,,,
658,4203778532,BergiezSquad,0,325,C Victor Wembanyama F Sam Hauser G Payton Pritchard PF Cameron Johnson PG Jordan Poole SF Keldon Johnson SG Paul George UTIL Richaun Holmes,,,
658,4203895701,ELopez432 (4/7),0,325,C Victor Wembanyama F Paul George G Jordan Poole PF Oshae Brissett PG Jrue Holiday SF Sam Hauser SG Justin Champagnie UTIL Jalen Johnson,,,
