Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
14,4203784898,candygirl1 (2/5),0,356.25,C Victor Wembanyama F Jayson Tatum G Justin Champagnie PF Patrick Baldwin Jr. PG Jordan Poole SF Franz Wagner SG Sam Hauser UTIL Payton Pritchard,,Ivica Zubac,UTIL,10.91%,16.5
14,4203849522,vinnymo393 (2/6),0,356.25,C Victor Wembanyama F Jayson Tatum G Jordan Poole PF Patrick Baldwin Jr. PG Payton Pritchard SF Sam Hauser SG Justin Champagnie UTIL Franz Wagner,,Jalen Johnson,PF,10.42%,54.5
14,4203922263,blough1992 (10/20),0,356.25,C Victor Wembanyama F Franz Wagner G Jordan Poole PF Patrick Baldwin Jr. PG Payton Pritchard SF Sam Hauser SG Justin Champagnie UTIL Jayson Tatum,,Clint Capela,UTIL,9.90%,42.75
14,4203961917,halfhug (20/20),0,356.25,C Victor Wembanyama F Jayson Tatum G Justin Champagnie PF Patrick Baldwin Jr. PG Payton Pritchard SF Franz Wagner SG Sam Hauser UTIL Jordan Poole,,Nic Claxton,C,8.98%,36.5
14,4203991671,SHININ (1/2),0,356.25,C Victor Wembanyama F Sam Hauser G Jordan Poole PF Patrick Baldwin Jr. PG Payton Pritchard SF Jayson Tatum SG Justin Champagnie UTIL Franz Wagner,,Devin Vassell,SG,8.94%,39
27,4203543585,Okiestro (2/2),0,355.25,C Victor Wembanyama F Jalen Johnson G Cam Thomas PF Oshae Brissett PG Payton Pritchard SF Sam Hauser SG Justin Champagnie UTIL Dejounte Murray,,Immanuel Quickley,UTIL,8.87%,26.25
27,4203692224,Sucram,0,355.25,C Victor Wembanyama F Jalen Johnson G Cam Thomas PF Oshae Brissett PG Payton Pritchard SF Sam Hauser SG Justin Champagnie UTIL Dejounte Murray,,Bogdan Bogdanovic,SG,8.56%,23.25
29,4203157761,Frrststhl (7/20),0,354.5,C Victor Wembanyama F Oshae Brissett G Jordan Poole PF Moritz Wagner PG Payton Pritchard SF Jayson Tatum SG Sam Hauser UTIL Jalen Johnson,,Moritz Wagner,C,8.24%,22.5
30,4203353976,juliog23 (10/20),0,353.25,C Victor Wembanyama F Mikal Bridges G Sam Hauser PF Patrick Baldwin Jr. PG Payton Pritchard SF Jayson Tatum SG Justin Champagnie UTIL Clint Capela,,Keldon Johnson,F,8.21%,32.25
31,4203526640,Okiestro (1/2),0,352.5,C Victor Wembanyama F Paul George G Cam Thomas PF Patrick Baldwin Jr. PG Payton Pritchard SF Sam Hauser SG Justin Champagnie UTIL Kawhi Leonard,,Jalen Suggs,PG,7.65%,21.5
31,4203857359,VisualFire (1/6),0,352.5,C Victor Wembanyama F Patrick Baldwin Jr. G Justin Champagnie PF Kawhi Leonard PG Payton Pritchard SF Sam Hauser SG Paul George UTIL Cam Thomas,,Jeremy Sochan,PF,7.63%,27.75
31,4203948586,truson (1/6),0,352.5,C Victor Wembanyama F Kawhi Leonard G Cam Thomas PF Patrick Baldwin Jr. PG Payton Pritchard SF Sam Hauser SG Justin Champagnie UTIL Paul George,,Eugene Omoruyi,PF,6.96%,5
31,4203964800,cdink1014 (1/3),0,352.5,C Victor Wembanyama F Kawhi Leonard G Paul George PF Patrick Baldwin Jr. PG Payton Pritchard SF Sam Hauser SG Justin Champagnie UTIL Cam Thomas,,Tre Jones,G,5.99%,32
35,4203356576,rwalker1 (1/10),0,352.25,C Victor Wembanyama F Paolo Banchero G Cam Thomas PF Oshae Brissett PG Payton Pritchard SF Sam Hauser SG Justin Champagnie UTIL Paul George,,Mikal Bridges,SF,5.77%,32.25
35,4203430564,JDaniels423,0,352.25,C Victor Wembanyama F Paolo Banchero G Cam Thomas PF Oshae Brissett PG Payton Pritchard SF Sam Hauser SG Justin Champagnie UTIL Paul George,,Dennis Schroder,G,5.61%,35.75
37,4203386227,zbrown250 (7/17),0,352,C Victor Wembanyama F Paul George G Payton Pritchard PF Patrick Baldwin Jr. PG Jared Butler SF Sam Hauser SG Devin Vassell UTIL Jalen Johnson,,Cole Anthony,PG,4.49%,17.25
37,4203401383,jdeegs99 (5/20),0,352,C Victor Wembanyama F Keldon Johnson G Payton Pritchard PF Kawhi Leonard PG Jordan Poole SF Sam Hauser SG Justin Champagnie UTIL Cam Thomas,,Jontay Porter,C,4.35%,20.75
37,4203753222,jel1041 (3/3),0,352,C Moritz Wagner F Franz Wagner G Jordan Poole PF Jayson Tatum PG Payton Pritchard SF Sam Hauser SG Justin Champagnie UTIL Victor Wembanyama,,De'Andre Hunter,PF,4.32%,28
40,4203157764,Frrststhl (10/20),0,351.75,C Victor Wembanyama F Jalen Johnson G Jordan Poole PF Oshae Brissett PG Payton Pritchard SF Paul George SG Justin Champagnie UTIL Cam Thomas,,Bones Hyland,G,4.00%,2.25
40,4203922271,blough1992 (18/20),0,351.75,C Victor Wembanyama F Jayson Tatum G Payton Pritchard PF Patrick Baldwin Jr. PG Jared Butler SF Sam Hauser SG Jordan Poole UTIL Clint Capela,,Xavier Tillman,C,3.34%,11
40,4203947147,ihdollen (2/2),0,351.75,C Victor Wembanyama F Jayson Tatum G Justin Champagnie PF Oshae Brissett PG Payton Pritchard SF Sam Hauser SG Cam Thomas UTIL Devin Vassell,,Julian Champagnie,F,3.10%,0.75
40,4203947248,halfhug (10/20),0,351.75,C Victor Wembanyama F Jayson Tatum G Devin Vassell PF Oshae Brissett PG Payton Pritchard SF Sam Hauser SG Justin Champagnie UTIL Cam Thomas,,Jordan Nwora,PF,3.10%,30.75
40,4203947250,halfhug (12/20),0,351.75,C Victor Wembanyama F Jayson Tatum G Cam Thomas PF Oshae Brissett PG Payton Pritchard SF Sam Hauser SG Justin Champagnie UTIL Devin Vassell,,Terance Mann,G,3.00%,18.5
45,4203157762,Frrststhl (8/20),0,351.5,C Victor Wembanyama F Jalen Johnson G Sam Hauser PF Eugene Omoruyi PG Payton Pritchard SF Jayson Tatum SG Jordan Poole UTIL Justin Champagnie,,Kelly Olynyk,C,2.98%,21.5
45,4203762818,TBuchananT,0,351.5,C Victor Wembanyama F Eugene Omoruyi G Justin Champagnie PF Jalen Johnson PG Payton Pritchard SF Sam Hauser SG Jordan Poole UTIL Jayson Tatum,,Gradey Dick,G,2.82%,11
45,4203927933,LadiezMane (3/3),0,351.5,C Victor Wembanyama F Eugene Omoruyi G Jordan Poole PF Jayson Tatum PG Payton Pritchard SF Sam Hauser SG Justin Champagnie UTIL Jalen Johnson,,Bruce Brown,G,2.81%,17
45,4204007109,infam0u5p (12/12),0,351.5,C Eugene Omoruyi F Jalen Johnson G Justin Champagnie PF Jayson Tatum PG Payton Pritchard SF Sam Hauser SG Jordan Poole UTIL Victor Wembanyama,,Cameron Johnson,F,2.25%,23.75
49,4203393993,rayders83 (5/6),0,351,C Moritz Wagner F Al Horford G Justin Champagnie PF Jalen Johnson PG Payton Pritchard SF Jayson Tatum SG Sam Hauser UTIL Victor Wembanyama,,James Harden,UTIL,2.11%,33.5
50,4203778228,parabay (4/9),0,350.75,C Victor Wembanyama F Paul George G Jared Butler PF Paolo Banchero PG Payton Pritchard SF Sam Hauser SG Justin Champagnie UTIL Jordan Poole,,Luke Kornet,C,1.94%,26.5
50,4203911101,averydeuce (10/20),0,350.75,C Victor Wembanyama F Paul George G Payton Pritchard PF Paolo Banchero PG Jared Butler SF Sam Hauser SG Jordan Poole UTIL Justin Champagnie,,Amir Coffey,F,1.92%,9.75
52,4203168779,cptnspaulding (5/20),0,350,C Victor Wembanyama F Keldon Johnson G Sam Hauser PF Patrick Baldwin Jr. PG Jordan Poole SF Jayson Tatum SG Justin Champagnie UTIL Clint Capela,,Ochai Agbaji,UTIL,1.49%,18.75
53,4203694839,rkoshack,0,349.25,C Victor Wembanyama F Jayson Tatum G Justin Champagnie PF Oshae Brissett PG Payton Pritchard SF Sam Hauser SG Cam Thomas UTIL Nic Claxton,,Gary Harris,UTIL,1.37%,13.5
54,4203577528,london28 (1/2),0,349,C Victor Wembanyama F Sam Hauser G Gary Trent Jr. PF Jalen Johnson PG Payton Pritchard SF Keldon Johnson SG Cam Thomas UTIL Richaun Holmes,,Dorian Finney-Smith,PF,1.31%,27.75
55,4203406552,Navid841801 (5/20),0,348.75,C Victor Wembanyama F Sam Hauser G Justin Champagnie PF Patrick Baldwin Jr. PG Jared Butler SF Jayson Tatum SG Jordan Poole UTIL Jalen Johnson,,Vit Krejci,PG,1.02%,14
55,4203888107,banichar (17/19),0,348.75,C Victor Wembanyama F Sam Hauser G Dejounte Murray PF Patrick Baldwin Jr. PG Payton Pritchard SF De'Andre Hunter SG Justin Champagnie UTIL Jalen Johnson,,Lonnie Walker IV,F,0.96%,7.25
57,4203191394,B_Mcafee90 (4/20),0,348.5,C Victor Wembanyama F Ochai Agbaji G Cam Thomas PF Jalen Johnson PG Payton Pritchard SF Sam Hauser SG Justin Champagnie UTIL James Harden,,Johnny Davis,UTIL,0.77%,18.5
57,4203562417,GreenMachine_13,0,348.5,C Clint Capela F Paul George G Sam Hauser PF Patrick Baldwin Jr. PG Payton Pritchard SF Kawhi Leonard SG Justin Champagnie UTIL Victor Wembanyama,,Zach Collins,C,0.69%,20.75
59,4203910919,Primetimedelly,0,348.25,C Victor Wembanyama F Kawhi Leonard G Paul George PF Moritz Wagner PG Payton Pritchard SF Sam Hauser SG Justin Champagnie UTIL Cam Thomas,,Jahmi'us Ramsey,PG,0.59%,12.25
60,4203401391,jdeegs99 (13/20),0,347.75,C Victor Wembanyama F Paul George G Payton Pritchard PF Oshae Brissett PG Jordan Poole SF Sam Hauser SG Cam Thomas UTIL Gary Trent Jr.,,Joe Ingles,UTIL,0.57%,10
61,4203958985,TJZwarych (2/20),0,347.5,C Al Horford F Jayson Tatum G Cam Thomas PF Patrick Baldwin Jr. PG Payton Pritchard SF Sam Hauser SG Justin Champagnie UTIL Victor Wembanyama,,Kyle Kuzma,F,0.53%,0
62,4203915611,Wesdawgg (10/20),0,347,C Victor Wembanyama F Moritz Wagner G Cam Thomas PF Patrick Baldwin Jr. PG Payton Pritchard SF Sam Hauser SG Jordan Poole UTIL Dejounte Murray,,Bruno Fernando,UTIL,0.50%,18.25
63,4203377298,zbrown250 (1/17),0,346.5,C Victor Wembanyama F Franz Wagner G Dejounte Murray PF Patrick Baldwin Jr. PG Payton Pritchard SF Sam Hauser SG Justin Champagnie UTIL Clint Capela,,Garrison Mathews,F,0.50%,11
63,4203401398,jdeegs99 (20/20),0,346.5,C Victor Wembanyama F Keldon Johnson G Payton Pritchard PF Oshae Brissett PG Jordan Poole SF Paul George SG Sam Hauser UTIL Cam Thomas,,Jalen McDaniels,F,0.49%,0
63,4203678423,hittinmiddle (2/7),0,346.5,C Victor Wembanyama F Franz Wagner G Dejounte Murray PF Patrick Baldwin Jr. PG Payton Pritchard SF Sam Hauser SG Justin Champagnie UTIL Clint Capela,,Markelle Fultz,PG,0.47%,12.75
66,4203630252,mrdre47 (7/7),0,346,C Victor Wembanyama F Paolo Banchero G Justin Champagnie PF Patrick Baldwin Jr. PG Payton Pritchard SF Jayson Tatum SG Sam Hauser UTIL Bruno Fernando,,Malaki Branham,G,0.37%,13.25
66,4203709554,Johnny311997,0,346,C Victor Wembanyama F Oshae Brissett G Justin Champagnie PF Jayson Tatum PG Payton Pritchard SF Paul George SG Gary Trent Jr. UTIL Sam Hauser,,Jonathan Isaac,C,0.35%,0
66,4203819622,mojo-rising,0,346,C Victor Wembanyama F Oshae Brissett G Paul George PF Jayson Tatum PG Payton Pritchard SF Sam Hauser SG Justin Champagnie UTIL Gary Trent Jr.,,Dennis Smith Jr.,UTIL,0.32%,18.75
69,4203655568,FLYEAGLES12 (3/20),0,345.75,C Victor Wembanyama F Keldon Johnson G Justin Champagnie PF Jayson Tatum PG Payton Pritchard SF Sam Hauser SG Jordan Poole UTIL Jalen Suggs,,Bilal Coulibaly,G,0.31%,0
70,4203526009,ironman_07 (5/6),0,345.5,C Luke Kornet F Jayson Tatum G Jared Butler PF Jordan Nwora PG Payton Pritchard SF Paul George SG Sam Hauser UTIL Victor Wembanyama,,Blake Wesley,PG,0.30%,2.75
70,4203962580,Ever4everballin (1/20),0,345.5,C Victor Wembanyama F Moritz Wagner G Gary Trent Jr. PF Jayson Tatum PG Payton Pritchard SF Sam Hauser SG Jordan Poole UTIL Luke Kornet,,P.J. Tucker,F,0.28%,10.5
70,4203965386,thundernation44 (4/5),0,345.5,C Victor Wembanyama F Sam Hauser G Jordan Poole PF Oshae Brissett PG Payton Pritchard SF Jayson Tatum SG Justin Champagnie UTIL Devin Vassell,,Wesley Matthews,SG,0.28%,10.25
73,4203356577,rwalker1 (2/10),0,345.25,C Jontay Porter F Sam Hauser G Justin Champagnie PF Paolo Banchero PG Payton Pritchard SF Paul George SG Gary Trent Jr. UTIL Victor Wembanyama,,Day'Ron Sharpe,UTIL,0.20%,25.25
73,4203386220,zbrown250 (5/17),0,345.25,C Victor Wembanyama F Jalen Johnson G Jared Butler PF Kawhi Leonard PG Payton Pritchard SF Sam Hauser SG Justin Champagnie UTIL Devin Vassell,,Norman Powell,F,0.17%,0
73,4203966469,Tru210 (2/5),0,345.25,C Moritz Wagner F Patrick Baldwin Jr. G Dejounte Murray PF Jayson Tatum PG Payton Pritchard SF Sam Hauser SG Justin Champagnie UTIL Victor Wembanyama,,Trendon Watford,UTIL,0.13%,0
76,4203527431,Tray238122 (1/4),0,345,C Victor Wembanyama F Mikal Bridges G Cam Thomas PF Oshae Brissett PG Payton Pritchard SF Jayson Tatum SG Sam Hauser UTIL Justin Champagnie,,Jaden Springer,SF,0.13%,5
76,4203813388,joeyfreddy (2/20),0,345,C Victor Wembanyama F Jayson Tatum G Sam Hauser PF Oshae Brissett PG Payton Pritchard SF Mikal Bridges SG Justin Champagnie UTIL Cam Thomas,,Daniel Theis,C,0.11%,4.75
78,4203927463,RippedRealtor,0,344.75,C Victor Wembanyama F Oshae Brissett G Justin Champagnie PF Jalen Johnson PG Payton Pritchard SF Paul George SG Gary Trent Jr. UTIL Cam Thomas,,Derrick White,G,0.09%,0
79,4203157768,Frrststhl (14/20),0,344.5,C Victor Wembanyama F Jalen Johnson G Payton Pritchard PF Patrick Baldwin Jr. PG Cole Anthony SF Jayson Tatum SG Jordan Poole UTIL Justin Champagnie,,Chuma Okeke,SF,0.09%,0
80,4203947252,halfhug (14/20),0,344.25,C Victor Wembanyama F Sam Hauser G Payton Pritchard PF Patrick Baldwin Jr. PG Jordan Poole SF Franz Wagner SG Justin Champagnie UTIL Dejounte Murray,,Mason Plumlee,UTIL,0.07%,9
81,4203208475,siyu798 (8/20),0,343.75,C Richaun Holmes F Paolo Banchero G Sam Hauser PF Patrick Baldwin Jr. PG Payton Pritchard SF Jayson Tatum SG Justin Champagnie UTIL Victor Wembanyama,,Anthony Gill,PF,0.07%,22
81,4203319963,Dubbzz (6/20),0,343.75,C Richaun Holmes F Paolo Banchero G Sam Hauser PF Patrick Baldwin Jr. PG Payton Pritchard SF Jayson Tatum SG Justin Champagnie UTIL Victor Wembanyama,,Jules Bernard,F,0.07%,18
81,4203438928,natebreu (2/2),0,343.75,C Victor Wembanyama F Sam Hauser G Bogdan Bogdanovic PF Oshae Brissett PG Payton Pritchard SF Jayson Tatum SG Justin Champagnie UTIL Jalen Johnson,,Deni Avdija,SF,0.07%,0
81,4203516038,rtwcandy2021 (11/20),0,343.75,C Richaun Holmes F Paolo Banchero G Sam Hauser PF Patrick Baldwin Jr. PG Payton Pritchard SF Jayson Tatum SG Justin Champagnie UTIL Victor Wembanyama,,Jaylen Brown,SG,0.05%,0
81,4203668501,GoldenMonkey2011 (19/20),0,343.75,C Richaun Holmes F Paolo Banchero G Sam Hauser PF Patrick Baldwin Jr. PG Payton Pritchard SF Jayson Tatum SG Justin Champagnie UTIL Victor Wembanyama,,Svi Mykhailiuk,F,0.05%,19.75
81,4203690891,hittinmiddle (6/7),0,343.75,C Clint Capela F Patrick Baldwin Jr. G Dejounte Murray PF Jayson Tatum PG Payton Pritchard SF Sam Hauser SG Justin Champagnie UTIL Jalen Johnson,,Jalen Wilson,F,0.04%,0
81,4203722070,akumakill (16/20),0,343.75,C Richaun Holmes F Paolo Banchero G Sam Hauser PF Patrick Baldwin Jr. PG Payton Pritchard SF Jayson Tatum SG Justin Champagnie UTIL Victor Wembanyama,,Keon Johnson,SG,0.03%,0
81,4203812403,ckk-244ayk (6/20),0,343.75,C Richaun Holmes F Patrick Baldwin Jr. G Sam Hauser PF Paolo Banchero PG Payton Pritchard SF Jayson Tatum SG Justin Champagnie UTIL Victor Wembanyama,,Cedi Osman,F,0.03%,14.25
81,4203885449,rharpoot (1/6),0,343.75,C Victor Wembanyama F Moritz Wagner G Gary Trent Jr. PF Keldon Johnson PG Tre Jones SF Sam Hauser SG Cam Thomas UTIL Jalen Johnson,,Javon Freeman-Liberty,SG,0.03%,0
81,4203910225,nbrplaytime (1/20),0,343.75,C Victor Wembanyama F Jalen Johnson G Sam Hauser PF Oshae Brissett PG Payton Pritchard SF Jayson Tatum SG Justin Champagnie UTIL Bogdan Bogdanovic,,Brandon Boston Jr.,SG,0.03%,0
81,4203910599,bgup78 (20/20),0,343.75,C Richaun Holmes F Paolo Banchero G Sam Hauser PF Patrick Baldwin Jr. PG Payton Pritchard SF Jayson Tatum SG Justin Champagnie UTIL Victor Wembanyama,,Anthony Black,F,0.03%,4
81,4203913028,antrho1223 (2/15),0,343.75,C Richaun Holmes F Paolo Banchero G Sam Hauser PF Patrick Baldwin Jr. PG Payton Pritchard SF Jayson Tatum SG Justin Champagnie UTIL Victor Wembanyama,,Neemias Queta,C,0.03%,2
