Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4206891071,BMG1973,0,346.5,C Ivica Zubac F Andrew Wiggins G Kelly Oubre Jr. PF Gregory Jackson PG James Harden SF Grayson Allen SG Klay Thompson UTIL Chris Paul,,Tyrese Maxey,PG,51.77%,18
2,4206478966,voorheesfan (16/20),0,342,C Mo Bamba F Jonathan Kuminga G Kelly Oubre Jr. PF Draymond Green PG Devin Booker SF Andrew Wiggins SG Grayson Allen UTIL Gregory Jackson,,Gregory Jackson,PF,44.97%,48.75
3,4206478964,voorheesfan (14/20),0,340,C Jaren Jackson Jr. F Kelly Oubre Jr. G Grayson Allen PF Santi Aldama PG Scoot Henderson SF Andrew Wiggins SG Klay Thompson UTIL Gregory Jackson,,John Konchar,SG,39.03%,17.75
4,4206707039,dmbz29 (2/4),0,339.25,C Mo Bamba F Draymond Green G Grayson Allen PF Santi Aldama PG James Harden SF Andrew Wiggins SG Paul George UTIL Scoot Henderson,,Deandre Ayton,UTIL,36.45%,18.25
5,4206856484,BCBEARCATS1987,0,333.75,C Santi Aldama F Jonathan Kuminga G Kelly Oubre Jr. PF Draymond Green PG Kyle Lowry SF Gregory Jackson SG Grayson Allen UTIL Jusuf Nurkic,,Jake LaRavia,SF,33.63%,25.25
5,4206894926,BigChris0806 (2/3),0,333.75,C Ivica Zubac F Royce O'Neale G Chris Paul PF Jonathan Kuminga PG James Harden SF Gregory Jackson SG Grayson Allen UTIL Kelly Oubre Jr.,,Amir Coffey,PF,33.14%,17.25
7,4206835789,royalflush5782 (9/10),0,332,C Ivica Zubac F Santi Aldama G Grayson Allen PF Andrew Wiggins PG Devin Booker SF Paul George SG Kyle Lowry UTIL Trayce Jackson-Davis,,Kyle Lowry,PG,33.10%,19.25
8,4206578587,Bulldog44,0,330,C Ivica Zubac F Santi Aldama G Kelly Oubre Jr. PF Andrew Wiggins PG Devin Booker SF Grayson Allen SG Brandin Podziemski UTIL Scoot Henderson,,Anfernee Simons,SG,32.68%,22
9,4206872585,betto44 (4/4),0,329.5,C Ivica Zubac F Andrew Wiggins G Chris Paul PF Jonathan Kuminga PG James Harden SF Grayson Allen SG Kelly Oubre Jr. UTIL Royce O'Neale,,Nicolas Batum,PF,31.30%,15.75
10,4206295900,blazer1sd,0,329,C Ivica Zubac F Jaren Jackson Jr. G Grayson Allen PF Jonathan Kuminga PG Dalano Banton SF Gregory Jackson SG Klay Thompson UTIL Santi Aldama,,Trayce Jackson-Davis,C,29.09%,26.25
11,4206146824,smackfreek (1/2),0,326.5,C Jusuf Nurkic F Draymond Green G Kelly Oubre Jr. PF Gregory Jackson PG Dalano Banton SF Grayson Allen SG Klay Thompson UTIL Santi Aldama,,Scoot Henderson,PG,26.62%,32
12,4206032003,bigsqueeze1 (10/20),0,326,C Draymond Green F Jonathan Kuminga G Kelly Oubre Jr. PF Santi Aldama PG Brandin Podziemski SF Gregory Jackson SG Grayson Allen UTIL Klay Thompson,,Jaren Jackson Jr.,C,26.09%,39
13,4206031998,bigsqueeze1 (5/20),0,325.25,C Ivica Zubac F Jonathan Kuminga G Grayson Allen PF Andrew Wiggins PG James Harden SF Kelly Oubre Jr. SG Klay Thompson UTIL Dalano Banton,,Desmond Bane,G,25.19%,15.25
14,4206892489,chetman5000 (1/3),0,325,C Ivica Zubac F Gregory Jackson G Grayson Allen PF Andrew Wiggins PG Devin Booker SF Klay Thompson SG Brandin Podziemski UTIL Kelly Oubre Jr.,,Kelly Oubre Jr.,G,24.92%,42.25
15,4205938421,shugadaddy,0,324.75,C Santi Aldama F Kelly Oubre Jr. G Grayson Allen PF Jonathan Kuminga PG Scoot Henderson SF Gregory Jackson SG Klay Thompson UTIL Bradley Beal,,Ivica Zubac,C,24.41%,39.75
16,4206063826,Memphis82,0,324.25,C Ivica Zubac F Draymond Green G Kelly Oubre Jr. PF Jonathan Kuminga PG Chris Paul SF Grayson Allen SG Klay Thompson UTIL Jusuf Nurkic,,Paul George,SG,21.30%,48.5
17,4206884491,FUBAR10,0,324,C Ivica Zubac F Grayson Allen G James Harden PF Jonathan Kuminga PG Kyle Lowry SF Gregory Jackson SG Klay Thompson UTIL Kelly Oubre Jr.,,Stephen Curry,PG,21.10%,24
